order_experience,inernational_oil_pr,Exchange_rate,shipowner,ship_kinds,ship_fee,chinese_bid_yn,ship size,domestic_competitor_bidding_yn,order_backlog,bid_pr,order_yn
yes,53.94,1045.0,D,B,12029.0,no,15032.06,yes,204.81,10.95,yes
yes,91.89,1604.0,L,D,7112.0,no,16360.38,yes,108.3,10.82,yes
no,18.02,1376.0,A,A,6830.0,yes,19797.68,no,143.96,10.83,yes
yes,40.16,1099.0,J,B,8342.0,yes,16653.87,yes,107.57,10.84,yes
yes,42.49,1090.0,K,A,13711.0,no,12900.44,yes,251.81,10.82,yes
yes,21.09,1211.0,A,B,11165.0,yes,16182.6,yes,162.28,10.82,yes
yes,51.08,1198.0,H,B,9997.0,no,13835.56,no,193.46,10.82,yes
yes,25.05,1199.0,C,B,7204.0,yes,27455.01,yes,178.09,10.82,yes
yes,31.58,1156.0,J,B,8190.0,yes,19854.39,yes,264.97,10.82,yes
yes,48.69,1181.0,G,B,9178.0,yes,25461.14,no,168.37,12.42,yes
no,32.19,1037.0,G,B,6747.0,yes,17156.82,no,259.12,11.43,yes
yes,35.29,1264.0,A,A,20759.0,yes,36262.32,yes,265.46,10.82,yes
no,18.51,1416.0,M,H,3862.0,yes,34991.21,yes,108.65,10.82,yes
yes,47.01,1196.0,H,B,12592.0,no,13588.17,no,195.62,10.82,yes
yes,22.19,1101.0,D,B,7670.0,yes,27764.98,yes,178.14,14.6,yes
yes,42.88,1258.0,A,A,16712.0,yes,36118.14,yes,256.91,10.82,yes
no,51.02,1520.0,K,E,11688.0,yes,22448.05,yes,108.65,10.82,yes
no,51.28,1295.0,B,B,13157.0,yes,19899.9,yes,108.2,10.82,yes
yes,14.27,1288.0,F,B,6668.0,yes,18510.25,yes,155.35,12.18,yes
no,37.6,1240.0,B,A,20520.0,yes,34129.87,no,108.25,13.77,yes
yes,55.29,1249.0,K,E,15417.0,yes,34261.93,yes,108.06,17.04,yes
yes,46.25,1697.0,F,B,8831.0,yes,20235.14,no,163.01,10.84,yes
no,45.08,1167.0,B,A,6798.0,yes,51725.8,yes,297.14,12.68,yes
yes,17.95,1081.0,D,B,8635.0,yes,19752.38,yes,239.68,11.64,yes
yes,19.44,1178.0,D,B,8491.0,yes,33841.76,yes,133.2,13.94,yes
yes,43.61,1229.0,F,B,11169.0,no,17385.82,yes,128.39,12.56,yes
yes,28.99,1128.0,I,A,6428.0,no,14154.3,no,108.45,16.36,yes
yes,30.33,1138.0,I,A,13129.0,yes,21884.14,yes,230.34,11.88,yes
yes,46.43,1257.0,H,B,12910.0,no,12616.45,no,203.58,10.82,yes
yes,39.34,1174.0,A,A,12873.0,yes,27184.25,no,245.22,10.83,yes
yes,22.65,1312.0,H,B,8051.0,yes,37697.73,no,132.56,11.03,yes
yes,21.1,1379.0,F,B,8509.0,no,13167.43,no,156.14,13.39,yes
yes,25.2,1139.0,D,B,8474.0,yes,18985.48,yes,223.52,10.82,yes
no,33.18,1109.0,D,B,9557.0,yes,21046.97,yes,237.76,12.85,yes
no,27.14,1506.0,B,A,12776.0,yes,16880.85,no,107.91,17.04,yes
no,46.94,1278.0,G,B,6753.0,no,14755.34,yes,108.01,10.82,yes
yes,27.47,1436.0,D,B,10403.0,no,13844.47,yes,108.84,10.82,yes
yes,28.1,1066.0,J,B,6808.0,yes,18375.77,no,213.16,31.48,yes
yes,37.16,1165.0,D,E,9102.0,yes,25795.96,no,108.94,11.29,yes
no,30.66,1236.0,B,B,7710.0,no,15692.83,yes,202.3,10.82,yes
no,24.72,1128.0,B,A,11601.0,yes,24509.28,yes,161.15,13.88,yes
yes,27.57,1198.0,A,B,6712.0,yes,29217.65,no,108.74,19.77,yes
yes,31.07,1211.0,D,A,9144.0,yes,14103.57,yes,177.06,29.55,yes
no,17.84,1013.0,D,A,4896.0,yes,14675.71,no,154.52,10.82,yes
yes,17.08,1460.0,B,B,7761.0,no,12380.56,yes,132.76,11.32,yes
yes,26.47,1280.0,D,B,8323.0,yes,24120.34,no,181.63,12.67,yes
yes,69.99,1706.0,I,A,30629.0,yes,23965.35,yes,108.16,11.92,yes
yes,25.24,1419.0,D,B,10765.0,no,13812.31,yes,108.79,10.82,yes
yes,31.19,1332.0,B,A,14041.0,yes,24243.43,no,270.12,11.0,yes
yes,50.36,1475.0,G,A,18578.0,no,14445.65,yes,117.58,12.82,yes
yes,23.18,1164.0,D,A,11589.0,no,14752.72,no,108.6,10.82,yes
yes,64.93,1258.0,D,A,8981.0,yes,29119.0,yes,109.04,11.17,yes
no,41.46,1175.0,D,B,8903.0,yes,21011.01,yes,230.1,12.86,yes
yes,44.45,1201.0,A,A,13676.0,yes,24818.88,no,216.3,10.82,yes
yes,20.97,1213.0,F,B,9084.0,no,15671.72,no,167.24,10.83,yes
no,78.23,1092.0,L,D,8773.0,yes,18042.93,no,187.96,10.95,yes
yes,52.83,1059.0,D,A,6806.0,yes,22396.18,no,200.58,11.91,yes
yes,25.03,1083.0,J,B,6559.0,yes,18246.52,no,203.38,24.61,yes
yes,54.93,1349.0,K,E,16498.0,yes,39138.56,yes,108.94,17.23,yes
yes,28.99,1120.0,D,B,6677.0,yes,22691.11,yes,171.61,18.11,yes
yes,57.26,1074.0,E,B,5543.0,yes,16676.93,no,356.22,10.83,yes
yes,29.19,1134.0,F,B,7590.0,yes,26529.33,yes,265.75,10.87,yes
no,52.12,1185.0,I,B,23136.0,yes,17328.82,yes,295.47,12.83,yes
no,62.82,1098.0,A,A,6120.0,yes,36845.52,yes,295.27,10.83,yes
yes,38.02,1144.0,F,A,5101.0,yes,14433.99,no,198.47,10.93,yes
yes,36.99,1207.0,I,B,9011.0,yes,16936.63,yes,268.99,10.82,yes
yes,66.79,1506.0,J,B,9872.0,yes,22667.89,yes,192.82,10.82,yes
no,17.77,1376.0,H,B,6733.0,no,14703.9,yes,107.57,10.82,yes
yes,35.69,1460.0,B,A,12308.0,yes,21924.91,no,261.28,10.99,yes
no,37.5,1518.0,B,A,25869.0,yes,23757.58,no,108.84,19.68,yes
no,22.11,1401.0,I,A,7746.0,yes,19050.42,yes,195.67,11.53,yes
yes,24.7,1198.0,A,B,8226.0,yes,27180.36,no,108.65,19.55,yes
yes,27.95,1566.0,D,B,7605.0,yes,33308.9,no,188.7,12.25,yes
yes,36.22,1280.0,J,A,13856.0,yes,29700.95,yes,147.35,10.82,yes
yes,62.78,1319.0,J,B,21073.0,yes,26685.51,yes,252.1,12.43,yes
no,26.75,1338.0,B,B,15915.0,yes,21067.08,yes,154.03,10.82,yes
no,18.94,1345.0,A,A,8115.0,yes,20178.36,no,149.41,10.82,yes
yes,39.58,1168.0,D,E,15688.0,yes,34901.74,no,163.36,12.0,yes
no,25.84,1216.0,B,A,8208.0,yes,42873.54,no,109.04,11.41,yes
no,31.48,1547.0,B,A,11535.0,yes,17787.52,no,108.2,15.91,yes
yes,27.59,1185.0,A,A,7831.0,yes,20519.88,no,181.38,12.54,yes
yes,36.17,1115.0,D,B,8791.0,yes,30095.94,no,122.84,11.34,yes
yes,54.96,1157.0,A,A,9931.0,yes,27685.04,no,232.8,10.82,yes
yes,37.82,1190.0,F,B,15542.0,yes,14123.43,yes,263.54,10.82,yes
yes,69.22,1216.0,B,B,6861.0,no,13178.0,yes,216.64,10.82,yes
yes,37.14,1066.0,D,E,25562.0,no,15413.86,no,108.3,10.82,yes
yes,12.85,1054.0,B,F,5995.0,no,15901.32,no,188.11,10.88,yes
yes,38.46,1330.0,D,B,9577.0,yes,31971.12,yes,108.2,11.07,yes
no,46.5,1114.0,B,A,5392.0,yes,43329.5,yes,316.93,12.11,yes
no,25.2,1421.0,A,A,11738.0,yes,21174.28,no,269.29,11.47,yes
yes,19.21,1453.0,I,B,8976.0,yes,28062.81,no,129.62,11.31,yes
yes,43.66,1442.0,I,A,13621.0,yes,22668.11,no,108.01,10.82,yes
yes,39.7,1453.0,D,B,9766.0,yes,26996.44,yes,108.45,11.08,yes
yes,28.31,1211.0,J,B,8790.0,no,13254.79,yes,242.67,10.83,yes
no,37.19,1115.0,A,B,7870.0,no,14440.24,no,232.21,10.88,yes
yes,31.35,1100.0,E,A,7989.0,no,13625.75,yes,285.69,10.82,yes
no,22.52,1101.0,B,A,10437.0,yes,22179.59,yes,162.08,13.42,yes
yes,25.33,1081.0,A,B,9591.0,yes,18919.27,no,199.65,11.39,yes
yes,20.18,1250.0,C,B,13848.0,no,14233.93,yes,151.52,10.83,yes
no,24.72,1177.0,H,B,7780.0,no,14227.99,no,146.02,10.82,yes
yes,53.84,1491.0,G,A,14314.0,no,14021.02,yes,117.98,13.15,yes
yes,12.79,1196.0,F,B,10617.0,yes,17570.32,yes,146.56,12.09,yes
no,21.17,1198.0,B,A,8724.0,yes,22809.65,yes,171.46,13.74,yes
yes,31.09,1513.0,A,B,7401.0,yes,101443.76,yes,164.39,11.15,yes
yes,54.85,1352.0,D,A,21624.0,yes,27632.87,no,188.06,12.34,yes
yes,23.17,1128.0,D,H,10672.0,no,12659.98,yes,108.5,10.82,yes
yes,26.3,1085.0,D,A,7255.0,no,14711.4,no,108.7,10.83,yes
yes,20.86,1123.0,A,A,6968.0,yes,28285.94,yes,347.52,11.72,yes
yes,44.9,1330.0,K,E,15394.0,yes,32976.72,yes,107.76,17.24,yes
no,64.17,1630.0,M,D,5155.0,yes,39875.31,no,108.4,11.16,yes
yes,40.33,1442.0,I,A,14302.0,yes,23820.15,no,108.5,10.82,yes
no,29.87,1128.0,B,A,8894.0,yes,23239.73,yes,166.3,13.54,yes
yes,94.86,1766.0,E,C,19581.0,yes,15160.04,yes,108.45,10.95,yes
yes,42.88,1226.0,D,B,12685.0,yes,25753.75,no,109.63,15.32,yes
yes,35.54,1228.0,F,B,5816.0,yes,16600.24,no,130.75,12.37,yes
yes,26.43,1073.0,D,B,8030.0,yes,25661.49,yes,146.61,17.12,yes
yes,28.99,1423.0,K,B,7740.0,yes,23324.95,no,129.67,11.64,yes
no,32.75,1431.0,D,B,9471.0,yes,15267.0,no,181.13,10.84,yes
yes,31.32,1047.0,F,B,8906.0,yes,14455.8,no,194.49,10.82,yes
no,22.54,1329.0,B,B,9279.0,yes,21877.09,yes,108.4,11.44,yes
no,58.01,1176.0,M,H,6919.0,no,14143.24,no,151.52,12.25,yes
yes,35.48,1332.0,F,A,13456.0,no,15224.01,yes,172.05,10.82,yes
no,28.71,1116.0,B,B,7334.0,yes,18116.45,no,138.56,10.82,yes
no,40.69,1263.0,E,B,13280.0,no,15308.02,yes,108.35,15.46,yes
yes,35.26,1251.0,A,B,9120.0,yes,18059.29,yes,159.48,10.82,yes
yes,65.93,1184.0,F,B,9946.0,yes,20353.21,yes,138.26,10.9,yes
no,53.15,1414.0,K,E,15079.0,yes,28110.11,yes,107.81,10.82,yes
yes,57.14,1218.0,B,A,12493.0,yes,31985.44,no,142.73,10.82,yes
no,41.99,1076.0,A,B,6656.0,no,16152.1,no,265.16,25.88,yes
yes,24.11,1448.0,I,B,4537.0,yes,27128.71,no,132.42,11.35,yes
yes,45.95,1074.0,D,E,24380.0,no,14532.46,no,108.4,10.82,yes
no,17.87,1147.0,B,A,9615.0,yes,38025.41,no,108.74,11.43,yes
yes,24.16,1069.0,C,A,6906.0,no,15014.94,yes,108.55,10.82,yes
yes,26.93,1094.0,A,B,7514.0,yes,14333.19,no,207.36,11.42,yes
yes,24.32,1522.0,F,B,12310.0,yes,16531.08,no,142.73,11.13,yes
yes,21.91,1157.0,F,B,8557.0,no,16332.71,no,174.9,10.83,yes
yes,30.87,1134.0,A,B,7053.0,yes,19984.04,no,215.66,11.43,yes
no,45.75,1192.0,K,E,8831.0,no,12444.9,yes,108.25,11.14,yes
yes,78.69,1639.0,L,D,32416.0,yes,32250.14,yes,108.45,11.94,yes
yes,49.2,1193.0,A,A,16631.0,yes,23716.1,no,235.35,10.82,yes
no,25.16,1187.0,B,A,10346.0,yes,39886.62,no,108.94,11.52,yes
yes,28.48,1219.0,D,A,8000.0,yes,17778.46,yes,183.44,29.72,yes
no,30.39,1137.0,D,B,8365.0,yes,27043.47,no,108.65,11.48,yes
no,27.31,1482.0,E,C,7940.0,no,12934.79,no,109.48,28.0,yes
yes,28.63,1088.0,B,B,9843.0,no,16533.48,yes,230.0,10.82,yes
no,30.64,1473.0,B,A,13634.0,yes,15867.72,no,109.24,16.4,yes
no,20.82,1408.0,A,A,7448.0,yes,20763.35,no,151.67,10.82,yes
yes,34.85,1082.0,F,B,10378.0,yes,24326.45,yes,285.1,22.11,yes
yes,57.82,1155.0,J,E,8879.0,yes,32187.44,yes,290.31,13.31,yes
yes,49.05,1181.0,J,E,7353.0,yes,30936.4,yes,251.02,14.07,yes
no,33.78,1211.0,E,I,8939.0,yes,24070.69,yes,147.0,11.44,yes
yes,18.88,1444.0,A,B,6350.0,no,15241.41,no,142.68,10.82,yes
yes,35.49,1157.0,G,B,12945.0,yes,23796.39,no,165.86,12.34,yes
yes,17.0,1130.0,D,B,4567.0,no,16431.97,no,107.81,10.82,yes
yes,26.78,1514.0,K,B,12197.0,yes,27363.15,no,130.65,11.58,yes
yes,30.51,1147.0,G,A,12266.0,yes,16222.88,yes,181.72,10.82,yes
yes,26.61,1196.0,D,E,6420.0,no,16073.51,yes,172.15,10.82,yes
no,42.9,1476.0,B,B,9785.0,yes,26355.0,yes,108.5,10.82,yes
yes,77.72,1388.0,J,B,22847.0,yes,21841.89,yes,236.73,12.34,yes
yes,26.37,1192.0,D,A,9867.0,no,14197.51,yes,159.87,10.82,yes
yes,16.34,1240.0,K,B,9387.0,yes,16805.28,no,151.86,11.12,yes
yes,34.24,1139.0,I,A,11323.0,yes,20785.35,yes,218.75,11.89,yes
yes,43.68,1451.0,J,B,24823.0,no,15462.75,no,152.16,10.82,yes
no,48.13,1239.0,B,A,8865.0,yes,45608.41,yes,278.13,12.42,yes
yes,24.22,1036.0,I,B,7425.0,yes,22115.78,yes,219.49,16.26,yes
no,27.85,1081.0,F,B,7391.0,yes,37114.28,no,154.96,13.65,yes
no,71.12,1498.0,M,D,8429.0,yes,38724.6,no,107.91,11.13,yes
yes,16.85,1190.0,H,B,7845.0,yes,21711.86,yes,267.86,11.51,yes
no,26.71,1114.0,B,B,8284.0,yes,18912.91,yes,141.06,11.3,yes
yes,32.85,1428.0,J,B,12744.0,yes,32814.95,no,208.05,16.77,yes
no,24.77,1300.0,A,A,5061.0,yes,20326.98,no,146.22,10.82,yes
yes,31.81,1161.0,K,E,17385.0,yes,24001.49,yes,184.52,10.82,yes
no,33.81,1159.0,A,A,4840.0,yes,28330.49,yes,166.99,10.82,yes
yes,19.26,1107.0,C,A,5821.0,no,17463.49,yes,108.25,10.82,yes
yes,40.82,1202.0,B,A,15895.0,no,15000.13,yes,141.99,11.6,yes
yes,31.83,1233.0,F,B,6609.0,no,16659.89,yes,234.62,10.83,yes
yes,36.5,1647.0,C,B,9210.0,yes,24471.29,no,206.03,11.7,yes
no,17.49,1395.0,H,B,6692.0,yes,18187.43,no,136.59,11.53,yes
yes,62.29,1462.0,L,D,12721.0,yes,19644.67,no,108.7,21.11,yes
yes,49.24,1239.0,F,B,13280.0,yes,31426.13,no,290.51,12.18,yes
yes,22.44,1604.0,C,B,8847.0,yes,28713.73,no,214.68,11.76,yes
no,19.44,1462.0,B,B,5703.0,yes,15765.72,yes,130.6,10.82,yes
yes,54.24,1560.0,D,A,19731.0,yes,26057.55,no,181.28,12.97,yes
no,32.27,1190.0,F,B,6749.0,yes,37707.12,no,153.78,13.5,yes
no,20.3,1223.0,D,A,11255.0,no,13471.59,no,219.69,10.82,yes
no,24.47,1176.0,B,B,8053.0,yes,17671.25,yes,142.78,11.27,yes
yes,41.25,1160.0,D,B,7491.0,yes,26757.98,no,179.27,16.49,yes
no,24.32,1434.0,A,B,6797.0,no,13878.67,no,141.26,12.4,yes
yes,63.59,1182.0,B,A,13920.0,yes,34852.56,no,141.01,10.82,yes
yes,31.09,1470.0,D,A,10878.0,yes,31098.27,no,108.45,13.62,yes
yes,34.82,1057.0,D,A,13205.0,yes,16679.52,yes,300.33,19.54,yes
no,55.77,1363.0,E,E,14070.0,yes,25372.32,no,246.21,80.64,yes
yes,39.29,1146.0,B,A,8878.0,yes,27949.74,yes,291.83,12.11,yes
yes,50.23,1208.0,D,E,7271.0,yes,20451.05,no,108.4,11.2,yes
no,20.82,1439.0,B,B,7478.0,yes,20022.09,yes,107.96,11.5,yes
no,64.53,1221.0,H,B,11562.0,yes,22959.85,no,108.7,10.95,yes
yes,33.53,1059.0,D,B,8601.0,no,12776.33,yes,211.39,10.95,yes
yes,21.62,1083.0,D,A,10235.0,no,14579.24,yes,168.76,10.82,yes
yes,53.89,1209.0,J,B,5277.0,no,15518.42,yes,200.83,10.82,yes
yes,41.3,1250.0,A,A,16660.0,yes,30826.42,yes,268.75,10.82,yes
yes,25.99,1138.0,J,E,7039.0,yes,15019.07,yes,185.16,13.42,yes
yes,23.69,1151.0,B,B,8809.0,yes,18622.42,yes,108.01,11.51,yes
yes,51.96,1601.0,D,B,16695.0,yes,26367.67,no,108.5,10.82,yes
yes,17.23,1265.0,D,B,7069.0,yes,18291.52,no,184.08,12.37,yes
no,28.17,1485.0,I,A,7405.0,yes,15844.02,yes,226.37,11.51,yes
yes,19.27,1130.0,D,B,9993.0,yes,26641.59,yes,198.37,14.9,yes
no,22.46,1359.0,B,B,7796.0,yes,16646.53,yes,125.25,10.82,yes
no,72.04,1059.0,L,D,6261.0,yes,14834.68,no,205.89,10.96,yes
yes,23.6,1173.0,J,B,10671.0,yes,24676.35,no,191.25,10.82,yes
yes,26.61,1505.0,A,B,7824.0,no,13247.7,no,144.55,10.82,yes
no,27.19,1289.0,H,B,9661.0,yes,18226.85,no,139.24,11.91,yes
yes,39.25,1419.0,D,B,11085.0,yes,27316.65,yes,109.28,11.12,yes
yes,15.13,1260.0,G,B,8327.0,no,13768.67,no,146.56,10.82,yes
yes,63.43,1291.0,E,B,14215.0,yes,20927.45,no,107.96,10.83,yes
yes,44.3,1238.0,J,B,4896.0,yes,18306.09,yes,144.99,12.12,yes
yes,13.89,1108.0,D,B,11737.0,yes,21536.19,yes,253.82,11.73,yes
no,20.15,1373.0,H,B,9277.0,yes,20008.52,no,141.5,11.56,yes
no,21.48,1389.0,F,B,9415.0,yes,23200.37,yes,123.87,11.43,yes
no,21.62,1361.0,D,A,10807.0,no,11949.94,no,250.58,10.82,yes
no,53.96,1237.0,B,A,10666.0,yes,25150.27,no,129.08,11.49,yes
yes,26.94,1503.0,D,A,11267.0,yes,30190.63,no,107.42,13.27,yes
yes,24.12,1491.0,B,B,9557.0,yes,24633.45,yes,147.3,11.63,yes
yes,82.93,1834.0,E,C,16514.0,yes,16753.38,yes,109.73,10.93,yes
no,18.79,1189.0,B,B,9556.0,yes,20324.88,no,196.51,14.26,yes
yes,34.72,1143.0,A,B,9042.0,yes,17088.22,yes,292.52,81.66,yes
yes,54.57,1914.0,F,B,6898.0,yes,17725.12,no,152.85,10.84,yes
yes,16.85,1382.0,D,B,9469.0,no,14497.47,no,124.02,10.82,yes
no,24.17,1085.0,I,A,5824.0,no,15846.97,yes,172.0,17.59,yes
no,42.34,1321.0,B,B,15004.0,yes,17335.26,yes,107.91,10.82,yes
no,22.98,1108.0,B,A,8704.0,no,13588.18,no,204.27,11.92,yes
no,30.08,1435.0,A,A,10647.0,yes,21450.99,no,233.09,11.26,yes
yes,34.86,1085.0,F,B,8212.0,yes,16268.6,no,179.22,10.82,yes
no,21.22,1124.0,B,B,8046.0,yes,17895.74,yes,142.14,11.24,yes
yes,40.92,1091.0,D,B,6973.0,yes,29038.57,no,183.05,15.65,yes
yes,31.6,1068.0,A,B,6259.0,yes,20099.46,no,222.68,11.31,yes
no,32.27,1260.0,E,I,9711.0,yes,21799.82,yes,144.6,11.4,yes
yes,44.27,1040.0,D,E,24352.0,yes,40225.12,no,108.3,28.87,yes
yes,18.56,1490.0,H,B,10045.0,no,15751.22,yes,115.57,10.82,yes
yes,26.53,1138.0,D,A,6914.0,no,15172.8,no,258.14,11.12,yes
yes,31.55,1103.0,J,B,8035.0,yes,17850.59,yes,246.31,10.82,yes
no,35.13,1243.0,A,A,9403.0,yes,27844.44,yes,179.46,10.82,yes
yes,56.94,1085.0,G,B,4644.0,no,13393.08,yes,217.23,10.82,yes
yes,28.53,1485.0,H,B,12094.0,no,15432.92,yes,116.65,10.83,yes
yes,17.69,1435.0,K,B,10580.0,yes,24695.36,no,128.29,11.56,yes
no,18.25,1119.0,B,A,5292.0,yes,27627.59,no,140.18,10.94,yes
no,45.61,1446.0,H,B,6548.0,yes,19381.28,yes,171.75,10.82,yes
yes,25.61,1116.0,D,A,9619.0,yes,18142.13,yes,236.83,10.99,yes
yes,47.78,1095.0,K,E,10497.0,no,13188.47,no,179.86,10.82,yes
yes,47.65,1206.0,B,B,12008.0,no,16403.92,no,108.16,10.82,yes
yes,19.24,1198.0,F,B,9742.0,yes,17415.75,yes,142.19,11.22,yes
yes,39.22,1236.0,G,B,9588.0,yes,28576.29,no,175.83,12.15,yes
yes,54.83,1347.0,D,A,9212.0,yes,27531.15,yes,108.16,11.14,yes
yes,62.09,1162.0,F,B,9491.0,yes,20628.4,yes,136.74,10.89,yes
yes,30.86,1172.0,B,B,7674.0,no,14134.49,yes,217.87,10.82,yes
yes,24.75,1059.0,I,A,8615.0,no,13933.15,no,108.3,16.92,yes
no,21.14,1106.0,A,D,18240.0,no,14601.37,yes,226.17,10.82,yes
yes,38.07,1091.0,C,B,7456.0,no,17953.5,yes,286.18,10.83,yes
yes,20.18,1410.0,B,A,5040.0,no,15857.01,no,142.09,10.82,yes
yes,30.41,1258.0,F,B,17254.0,no,13323.02,yes,137.72,10.82,yes
yes,67.19,1737.0,I,A,24243.0,yes,27377.27,yes,108.55,11.92,yes
no,28.05,1492.0,H,B,7015.0,yes,32565.19,yes,148.13,11.44,yes
yes,44.9,1101.0,H,B,7126.0,yes,18109.07,no,185.55,12.0,yes
yes,10.79,1107.0,D,B,7132.0,yes,19767.46,yes,227.84,11.67,yes
yes,31.0,1464.0,H,B,9319.0,yes,21500.46,yes,175.44,10.82,yes
yes,35.56,1218.0,A,A,17601.0,no,15057.62,yes,108.74,10.82,yes
yes,31.8,1103.0,D,B,7420.0,yes,30253.08,no,120.09,11.46,yes
yes,46.5,1125.0,F,B,12654.0,yes,22199.62,yes,293.7,23.51,yes
yes,37.36,1308.0,I,A,12074.0,yes,26591.33,yes,109.04,11.96,yes
no,33.56,1118.0,B,B,5728.0,yes,16611.61,yes,140.86,11.26,yes
yes,40.56,1335.0,J,B,6584.0,yes,22781.19,yes,150.1,12.16,yes
yes,37.59,1298.0,I,B,11840.0,yes,14938.48,no,277.34,10.83,yes
yes,20.41,1080.0,D,H,9055.0,no,15982.91,yes,108.65,10.82,yes
no,25.36,1444.0,I,B,8611.0,no,16758.63,no,172.64,10.82,yes
yes,28.83,1110.0,J,B,5973.0,yes,15950.89,no,220.03,30.08,yes
yes,44.53,1112.0,F,B,8427.0,no,14885.26,yes,278.96,17.65,yes
yes,27.85,1207.0,C,B,7247.0,yes,24187.03,yes,171.95,10.82,yes
no,20.51,1495.0,B,A,12851.0,yes,15759.59,no,108.74,16.72,yes
yes,47.01,1112.0,H,B,7574.0,no,17417.17,no,197.44,10.82,yes
yes,36.18,1478.0,H,B,14383.0,yes,20541.56,yes,174.21,10.82,yes
yes,43.33,1142.0,D,E,13985.0,yes,37876.53,no,147.54,12.3,yes
no,28.08,1522.0,E,C,6473.0,no,15972.31,no,109.04,28.58,yes
no,37.19,1093.0,A,B,4953.0,no,14065.75,no,269.73,25.54,yes
yes,31.99,1336.0,F,A,14205.0,no,13981.67,yes,166.35,10.82,yes
yes,34.27,1090.0,A,A,12248.0,yes,21583.24,yes,108.89,10.82,yes
no,40.79,1109.0,A,B,8240.0,no,14194.66,no,243.21,10.88,yes
yes,34.27,1199.0,F,B,6649.0,no,13301.54,yes,203.43,11.13,yes
yes,42.03,1162.0,I,B,7115.0,yes,21190.58,yes,288.3,10.82,yes
yes,59.27,1347.0,D,A,21459.0,yes,22760.14,no,183.88,12.86,yes
yes,32.67,1091.0,H,B,9898.0,yes,18512.31,yes,249.89,11.44,yes
yes,29.01,1180.0,A,A,13821.0,yes,16680.17,no,242.13,11.22,yes
no,18.68,1477.0,D,A,12078.0,no,13883.43,no,245.27,10.82,yes
yes,19.75,1411.0,E,I,6301.0,no,17190.13,no,108.6,10.82,yes
yes,42.55,1198.0,D,E,16568.0,yes,42419.57,no,147.94,12.31,yes
no,42.7,1492.0,B,A,25439.0,yes,18980.8,no,108.6,19.95,yes
no,29.91,1339.0,D,E,13951.0,yes,22262.48,yes,108.55,14.82,yes
yes,23.07,1093.0,D,B,8601.0,yes,21599.89,yes,245.18,10.82,yes
yes,54.66,1149.0,A,A,7542.0,yes,26571.08,no,145.33,11.31,yes
no,19.24,1141.0,K,E,6110.0,yes,21841.48,no,140.57,10.82,yes
yes,44.73,1292.0,A,A,18776.0,yes,34598.39,yes,266.05,10.82,yes
yes,31.3,1205.0,I,A,11937.0,no,16065.28,yes,429.78,10.82,yes
no,28.03,1142.0,B,A,8572.0,no,14039.31,no,213.84,11.98,yes
yes,34.42,1246.0,I,A,12444.0,yes,20652.54,yes,223.22,11.66,yes
yes,45.33,1537.0,F,B,14336.0,yes,22208.87,yes,137.62,10.82,yes
yes,63.26,1398.0,K,E,5479.0,yes,26349.13,no,109.04,12.11,yes
no,30.81,1444.0,I,A,7543.0,yes,12902.51,no,156.87,10.84,yes
yes,25.0,1497.0,F,A,9588.0,yes,36061.52,yes,228.23,11.16,yes
yes,24.65,1361.0,D,B,7888.0,yes,19907.19,yes,125.93,10.85,yes
yes,61.38,1916.0,F,B,9177.0,yes,16696.85,no,157.32,10.84,yes
yes,42.04,1049.0,D,A,8532.0,yes,21832.58,no,188.16,11.96,yes
yes,61.5,1280.0,D,A,22467.0,yes,27019.67,no,187.47,13.02,yes
yes,32.13,1131.0,D,A,8538.0,yes,12698.3,yes,249.35,10.84,no
yes,30.95,1148.0,G,B,8246.0,yes,19389.66,yes,180.01,10.83,no
yes,42.16,1128.0,C,B,3857.0,no,16421.18,no,170.18,10.82,no
no,25.56,1519.0,B,A,9608.0,no,15816.18,no,195.57,10.83,no
yes,40.94,1197.0,A,B,8211.0,no,14381.38,yes,154.17,10.82,no
no,19.14,1198.0,L,D,7659.0,yes,18040.5,no,181.53,10.98,no
yes,24.17,1200.0,H,B,7316.0,no,16836.69,yes,156.24,10.91,no
yes,15.51,1135.0,G,B,8004.0,no,14148.41,no,190.07,10.83,no
no,26.3,1005.0,B,B,6001.0,yes,15660.35,yes,187.96,10.84,no
no,29.62,1117.0,J,B,6795.0,no,15496.4,no,222.0,10.82,no
yes,18.17,1158.0,D,A,4740.0,no,16901.69,no,183.93,10.83,no
no,26.25,1163.0,L,D,5076.0,no,14940.48,no,238.59,10.83,no
yes,27.93,1140.0,J,B,5571.0,no,13127.08,yes,241.15,10.82,no
yes,12.38,1105.0,D,B,10000.0,no,16820.37,yes,156.14,10.83,no
yes,17.08,1076.0,H,B,8294.0,no,14942.29,no,210.7,11.77,no
no,26.99,1532.0,G,A,13246.0,no,9863.39,yes,117.0,10.84,no
yes,21.95,1100.0,K,B,8334.0,no,13933.52,no,169.69,10.84,no
yes,18.3,1107.0,A,B,9037.0,no,14824.44,no,179.86,10.83,no
yes,26.09,1071.0,D,B,6942.0,no,15306.94,no,156.09,10.82,no
yes,51.02,1082.0,J,B,19222.0,yes,18215.05,yes,249.99,10.98,no
yes,18.43,1103.0,G,B,7950.0,yes,29793.05,no,108.55,10.82,no
yes,34.02,1278.0,B,B,10867.0,no,12868.52,no,277.29,10.89,no
